"SANITATION","Year","Population 
(thousands)","% urban","NATIONAL","","","","","","RURAL","","","","","","URBAN","","","","","","NATIONAL","","","","","","","","RURAL","","","","","","","","URBAN","","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","",""
"","","","","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Sl"
"Australia and New Zealand","2020","30322.113769531","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","76","-","-","76","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21"
"Central and Southern Asia","2000","1511915.2556763","30","24","6","12","58","2.38","-2.34","10","2","13","75","2.83","-2.86","56","15","11","19","1.18","-0.89","13","10","-","3","1.68","11","10","8","7","6","-","<1","2.15","8","3","1","27","19","-","8","0.68","18","27","25","22"
"Central and Southern Asia","2001","1539136.3328552","30","26","6","12","56","2.38","-2.34","13","3","12","72","2.83","-2.86","57","15","11","18","1.18","-0.89","14","11","-","3","1.68","11","12","9","8","7","-","<1","2.15","8","6","1","28","20","-","8","0.68","19","27","26","23"
"Central and Southern Asia","2002","1566364.4360962","30","28","7","12","54","2.38","-2.34","15","3","12","69","2.83","-2.86","58","15","10","17","1.18","-0.89","15","12","-","3","1.68","12","14","9","9","8","-","<1","2.15","8","9","1","29","20","-","8","0.68","20","27","26","24"
"Central and Southern Asia","2003","1593507.3413391","31","30","7","11","51","2.38","-2.34","18","4","12","67","2.83","-2.86","59","15","10","16","1.18","-0.89","17","14","-","3","1.68","13","15","9","11","10","-","<1","2.15","10","10","1","29","21","-","8","0.68","21","27","27","25"
"Central and Southern Asia","2004","1620441.571106","31","33","8","11","49","2.38","-2.34","20","4","12","64","2.83","-2.86","60","16","9","15","1.18","-0.89","19","16","-","3","1.68","15","16","9","14","13","-","<1","2.15","13","11","1","30","22","-","9","0.68","21","27","27","26"
"Central and Southern Asia","2005","1647073.7259521","31","35","8","11","46","2.38","-2.34","23","5","11","61","2.83","-2.86","61","16","9","14","1.18","-0.89","20","17","-","3","1.68","17","17","10","16","15","-","<1","2.15","15","12","1","31","22","-","9","0.68","21","28","28","27"
"Central and Southern Asia","2006","1673377.8163452","32","37","9","10","44","2.38","-2.34","26","5","11","58","2.83","-2.86","62","16","9","13","1.18","-0.89","22","19","-","3","1.68","18","18","10","18","17","-","<1","2.15","17","13","1","31","22","-","9","0.68","21","29","28","28"
"Central and Southern Asia","2007","1699363.6958618","32","40","9","10","41","2.38","-2.34","29","6","11","55","2.83","-2.86","63","16","8","12","1.18","-0.89","24","20","-","3","1.68","20","19","10","20","20","-","<1","2.15","19","14","1","32","22","-","10","0.68","21","29","29","29"
"Central and Southern Asia","2008","1725021.1693726","32","42","9","9","39","2.38","-2.34","31","6","10","52","2.83","-2.86","65","16","8","11","1.18","-0.89","26","22","-","4","1.68","21","20","10","22","22","-","<1","2.15","21","15","1","32","22","-","10","0.68","21","30","30","30"
"Central and Southern Asia","2009","1750350.9543457","33","45","10","9","37","2.38","-2.34","34","6","10","49","2.83","-2.86","66","16","7","10","1.18","-0.89","27","24","-","4","1.68","23","21","11","24","24","-","<1","2.15","23","16","1","33","23","-","11","0.68","21","31","30","31"
"Central and Southern Asia","2010","1775360.4952087","33","47","10","9","34","2.38","-2.34","37","7","10","47","2.83","-2.86","67","16","7","10","1.18","-0.89","29","25","-","4","1.68","24","22","11","27","26","-","<1","2.15","26","17","1","34","23","-","11","0.68","21","32","31","32"
"Central and Southern Asia","2011","1800024.375946","33","49","10","8","32","2.38","-2.34","40","7","9","44","2.83","-2.86","68","16","7","9","1.18","-0.89","31","27","-","4","1.68","26","23","12","29","28","-","<1","2.15","28","18","1","35","23","-","11","0.68","21","32","32","33"
"Central and Southern Asia","2012","1824353.2079773","34","52","11","8","30","2.38","-2.34","43","8","9","41","2.83","-2.86","69","17","6","8","1.18","-0.89","33","28","-","4","1.68","27","24","12","31","31","-","<1","2.15","30","19","1","35","23","-","12","0.68","21","33","32","34"
"Central and Southern Asia","2013","1848437.7737732","34","54","11","8","27","2.38","-2.34","46","8","9","38","2.83","-2.86","71","17","6","7","1.18","-0.89","34","30","-","5","1.68","28","25","12","34","33","-","<1","2.15","32","20","1","36","24","-","12","0.68","21","34","33","35"
"Central and Southern Asia","2014","1872400.9786987","35","57","11","7","25","2.38","-2.34","49","8","8","35","2.83","-2.86","72","17","5","6","1.18","-0.89","36","31","-","5","1.68","30","25","13","36","35","-","<1","2.15","35","21","1","37","24","-","13","0.68","20","34","34","36"
"Central and Southern Asia","2015","1896327.2716675","35","59","11","7","23","2.38","-2.34","52","8","8","32","2.83","-2.86","73","17","5","5","1.18","-0.89","38","33","-","5","1.68","31","26","13","38","38","-","<1","2.15","37","22","1","38","24","-","14","0.68","20","35","34","37"
"Central and Southern Asia","2016","1920242.5332642","35","62","12","7","20","2.38","-2.34","55","9","8","29","2.83","-2.86","74","17","5","4","1.18","-0.89","40","34","-","5","1.68","32","27","13","40","40","-","<1","2.15","39","23","1","38","24","-","14","0.68","20","36","35","38"
"Central and Southern Asia","2017","1944108.5054321","36","64","12","6","18","2.38","-2.34","58","9","7","27","2.83","-2.86","76","17","4","3","1.18","-0.89","42","36","-","6","1.68","34","28","14","43","42","-","<1","2.15","41","24","2","39","25","-","15","0.68","20","36","36","39"
"Central and Southern Asia","2018","1967865.5687256","36","66","12","6","16","2.38","-2.34","61","9","7","24","2.83","-2.86","77","17","4","2","1.18","-0.89","43","37","-","6","1.68","35","29","14","45","45","-","<1","2.15","44","25","2","40","25","-","15","0.68","20","37","36","40"
"Central and Southern Asia","2019","1991423.4943237","37","69","12","5","14","2.38","-2.34","64","9","6","21","2.83","-2.86","78","17","3","2","1.18","-0.89","45","39","-","6","1.68","36","30","15","48","47","-","<1","2.15","46","25","2","40","25","-","15","0.68","20","38","37","41"
"Central and Southern Asia","2020","2014708.5250854","37","71","12","5","12","2.38","-2.34","67","9","6","18","2.83","-2.86","79","17","3","<1","1.18","-0.89","47","40","-","6","1.68","38","31","15","50","49","-","<1","2.15","48","26","2","41","25","-","16","0.68","20","39","38","42"
"Eastern and South-Eastern Asia","2000","2043904.8276367","41","60","5","27","7","1.54","-0.27","47","4","39","11","1.94","-0.37","80","7","11","2","0.73","-0.07","21","7","-","13","1.97","23","15","28","11","8","-","3","1.58","34","12","5","35","7","-","28","1.85","6","20","61","43"
"Eastern and South-Eastern Asia","2001","2060862.2210999","42","61","5","27","7","1.54","-0.27","47","4","39","10","1.94","-0.37","81","7","10","2","0.73","-0.07","21","8","-","14","1.97","23","15","28","11","8","-","3","1.58","35","12","5","35","7","-","28","1.85","6","20","61","44"
"Eastern and South-Eastern Asia","2002","2078182.3854065","43","63","5","25","7","1.54","-0.27","49","4","37","10","1.94","-0.37","81","7","10","2","0.73","-0.07","22","8","-","14","1.97","22","16","30","12","8","-","4","1.58","34","13","6","35","7","-","28","1.85","7","20","61","45"
"Eastern and South-Eastern Asia","2003","2094161.6848145","44","65","5","24","6","1.54","-0.27","51","4","35","10","1.94","-0.37","82","7","9","2","0.73","-0.07","23","8","-","15","1.97","22","17","32","13","9","-","4","1.58","34","14","8","37","7","-","30","1.85","6","21","62","46"
"Eastern and South-Eastern Asia","2004","2109844.4630127","45","66","5","22","6","1.54","-0.27","53","4","34","9","1.94","-0.37","83","7","9","2","0.73","-0.07","25","8","-","17","1.97","21","17","33","14","9","-","5","1.58","33","15","9","39","7","-","32","1.85","6","21","62","47"
"Eastern and South-Eastern Asia","2005","2125348.4319153","46","68","5","21","6","1.54","-0.27","55","4","32","9","1.94","-0.37","83","6","9","2","0.73","-0.07","27","8","-","19","1.97","21","18","34","15","9","-","6","1.58","33","16","10","41","7","-","34","1.85","6","21","62","48"
"Eastern and South-Eastern Asia","2006","2140698.128479","47","70","5","20","5","1.54","-0.27","57","5","30","9","1.94","-0.37","84","6","8","2","0.73","-0.07","29","8","-","20","1.97","20","19","36","16","10","-","6","1.58","33","17","12","43","7","-","36","1.85","6","21","63","49"
"Eastern and South-Eastern Asia","2007","2155914.7566528","49","71","5","18","5","1.54","-0.27","59","5","29","8","1.94","-0.37","85","6","8","1","0.73","-0.07","31","9","-","22","1.97","20","20","37","17","10","-","7","1.58","33","18","13","45","7","-","38","1.85","6","22","63","50"
"Eastern and South-Eastern Asia","2008","2171101.6145935","50","73","5","17","5","1.54","-0.27","61","5","27","8","1.94","-0.37","85","6","7","1","0.73","-0.07","33","9","-","24","1.97","19","20","39","19","10","-","8","1.58","32","19","14","47","7","-","40","1.85","6","22","63","51"
"Eastern and South-Eastern Asia","2009","2186375.9259338","51","75","5","16","4","1.54","-0.27","63","5","25","8","1.94","-0.37","86","6","7","1","0.73","-0.07","35","9","-","26","1.97","19","21","40","20","11","-","10","1.58","32","20","16","49","7","-","42","1.85","6","22","64","52"
"Eastern and South-Eastern Asia","2010","2201806.6313782","52","76","5","15","4","1.54","-0.27","65","5","24","7","1.94","-0.37","87","5","6","1","0.73","-0.07","37","9","-","28","1.97","18","22","41","22","11","-","11","1.58","32","21","17","51","7","-","44","1.85","6","22","64","53"
"Eastern and South-Eastern Asia","2011","2217429.5158691","53","78","5","14","4","1.54","-0.27","67","5","22","7","1.94","-0.37","88","5","6","1","0.73","-0.07","39","9","-","30","1.97","18","22","42","24","11","-","12","1.58","31","22","18","53","7","-","46","1.85","6","23","64","54"
"Eastern and South-Eastern Asia","2012","2233184.281311","54","79","5","12","4","1.54","-0.27","69","5","20","6","1.94","-0.37","88","5","5","1","0.73","-0.07","41","9","-","32","1.97","18","23","44","26","12","-","14","1.58","31","23","19","55","7","-","48","1.85","6","23","65","55"
"Eastern and South-Eastern Asia","2013","2248916.7679443","54","81","5","11","3","1.54","-0.27","71","5","19","6","1.94","-0.37","89","5","5","1","0.73","-0.07","44","10","-","34","1.97","17","24","45","28","12","-","15","1.58","31","24","21","57","7","-","50","1.85","6","23","65","56"
"Eastern and South-Eastern Asia","2014","2264410.5673828","55","82","5","10","3","1.54","-0.27","73","5","17","6","1.94","-0.37","90","4","5","<1","0.73","-0.07","46","10","-","36","1.97","17","24","46","30","13","-","17","1.58","30","25","22","60","8","-","52","1.85","6","23","65","57"
