"SANITATION","Year","Population 
(thousands)","% urban","NATIONAL","","","","","","RURAL","","","","","","URBAN","","","","","","NATIONAL","","","","","","","","RURAL","","","","","","","","URBAN","","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","",""
"","","","","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Sl"
"Europe and Northern America","2014","1096282.5524008","76","97","<1","2","<1","0.09","-0.00","93","<1","7","<1","0.20","-0.00","99","<1","<1","<1","0.03","-0.00","75","-","-","74","0.36","5","11","82","44","-","-","44","0.32","13","32","48","85","2","-","83","0.27","2","4","93","78"
"Europe and Northern America","2015","1100090.0271364","76","97","<1","2","<1","0.09","-0.00","93","<1","6","<1","0.20","-0.00","99","<1","<1","<1","0.03","-0.00","76","-","-","74","0.36","5","11","82","44","-","-","44","0.32","13","32","48","86","2","-","83","0.27","2","4","93","79"
"Europe and Northern America","2016","1103793.4367458","77","97","<1","2","<1","0.09","-0.00","93","<1","6","<1","0.20","-0.00","99","<1","<1","<1","0.03","-0.00","76","-","-","75","0.36","5","10","83","44","-","-","44","0.32","13","32","49","86","2","-","84","0.27","2","4","93","80"
"Europe and Northern America","2017","1107356.9952255","77","97","<1","2","<1","0.09","-0.00","93","<1","6","<1","0.20","-0.00","99","<1","<1","<1","0.03","-0.00","77","-","-","75","0.36","5","10","83","45","-","-","45","0.32","13","32","49","86","2","-","84","0.27","2","4","93","81"
"Europe and Northern America","2018","1110715.4148837","77","97","<1","2","<1","0.09","-0.00","93","<1","6","<1","0.20","-0.00","99","<1","<1","<1","0.03","-0.00","77","-","-","75","0.36","5","10","83","45","-","-","45","0.32","13","32","50","87","2","-","84","0.27","2","4","93","82"
"Europe and Northern America","2019","1113783.7603936","77","98","<1","2","<1","0.09","-0.00","94","<1","6","<1","0.20","-0.00","99","<1","<1","<1","0.03","-0.00","78","-","-","76","0.36","5","10","84","46","-","-","46","0.32","13","31","50","87","2","-","85","0.27","2","4","94","83"
"Europe and Northern America","2020","1116505.6918335","77","98","<1","2","<1","0.09","-0.00","94","<1","6","<1","0.20","-0.00","99","<1","<1","<1","0.03","-0.00","78","-","-","76","0.36","4","10","84","46","-","-","46","0.32","13","31","50","87","2","-","85","0.27","2","4","94","84"
"Latin America and the Caribbean","2000","521836.3252027","75","74","5","11","10","0.75","-0.41","48","4","19","29","1.24","-1.17","83","6","8","3","0.51","-0.14","15","-","-","15","0.94","13","18","49","-","-","-","2","-","23","19","9","19","-","-","19","1.01","9","17","62","85"
"Latin America and the Caribbean","2001","529213.15292358","76","75","5","11","9","0.75","-0.41","49","4","19","28","1.24","-1.17","83","6","8","3","0.51","-0.14","16","-","-","16","0.94","12","18","50","-","-","-","2","-","24","20","9","20","-","-","20","1.01","9","17","63","86"
"Latin America and the Caribbean","2002","536441.56899142","76","76","5","10","9","0.75","-0.41","50","4","19","27","1.24","-1.17","84","6","8","3","0.51","-0.14","16","-","-","16","0.94","12","18","51","-","-","-","2","-","24","21","10","20","-","-","20","1.01","9","17","64","87"
"Latin America and the Caribbean","2003","543544.13935494","76","76","5","10","8","0.75","-0.41","52","4","19","26","1.24","-1.17","84","6","8","3","0.51","-0.14","17","-","-","17","0.94","12","18","52","-","-","-","3","-","24","21","10","21","-","-","21","1.01","9","17","64","88"
"Latin America and the Caribbean","2004","550555.24957204","77","77","5","10","8","0.75","-0.41","53","4","18","25","1.24","-1.17","85","5","7","3","0.51","-0.14","18","-","-","18","0.94","12","18","52","-","-","-","3","-","24","22","10","22","-","-","22","1.01","9","16","65","89"
"Latin America and the Caribbean","2005","557500.98042607","77","79","5","9","7","0.75","-0.41","55","4","18","23","1.24","-1.17","85","5","7","3","0.51","-0.14","18","-","-","18","0.94","12","18","54","-","-","-","3","-","24","23","12","23","-","-","23","1.01","8","16","66","90"
"Latin America and the Caribbean","2006","564384.72442722","77","79","5","9","7","0.75","-0.41","56","4","18","21","1.24","-1.17","86","5","6","3","0.51","-0.14","19","-","-","19","0.94","12","18","55","-","-","-","4","-","24","24","13","24","-","-","24","1.01","8","16","67","91"
"Latin America and the Caribbean","2007","571201.88231277","78","80","5","9","6","0.75","-0.41","58","4","18","20","1.24","-1.17","86","5","6","2","0.51","-0.14","20","-","-","20","0.94","11","18","56","-","-","-","4","-","24","25","13","25","-","-","25","1.01","8","16","68","92"
"Latin America and the Caribbean","2008","577962.66529441","78","81","5","8","6","0.75","-0.41","59","4","18","19","1.24","-1.17","87","5","6","2","0.51","-0.14","21","-","-","21","0.94","11","18","57","-","-","-","4","-","24","26","14","26","-","-","26","1.01","8","15","69","93"
"Latin America and the Caribbean","2009","584677.51973391","78","82","5","8","6","0.75","-0.41","60","5","17","18","1.24","-1.17","87","5","6","2","0.51","-0.14","22","-","-","22","0.94","11","18","58","-","-","-","5","-","24","26","14","27","-","-","27","1.01","7","15","70","94"
"Latin America and the Caribbean","2010","591352.34760761","79","82","5","8","5","0.75","-0.41","61","5","17","17","1.24","-1.17","88","5","5","2","0.51","-0.14","23","-","-","23","0.94","11","18","58","-","-","-","5","-","24","27","15","27","-","-","27","1.01","7","15","70","95"
"Latin America and the Caribbean","2011","597994.70607185","79","83","5","8","5","0.75","-0.41","62","5","17","16","1.24","-1.17","88","5","5","2","0.51","-0.14","24","-","-","24","0.94","11","18","59","-","-","-","5","-","24","28","15","28","-","-","28","1.01","7","15","71","96"
"Latin America and the Caribbean","2012","604599.46173811","79","84","5","7","4","0.75","-0.41","64","5","17","15","1.24","-1.17","89","5","5","2","0.51","-0.14","25","-","-","25","0.94","11","17","60","-","-","-","6","-","24","29","15","30","-","-","30","1.01","7","14","72","97"
"Latin America and the Caribbean","2013","611143.93811584","79","84","5","7","4","0.75","-0.41","65","5","16","14","1.24","-1.17","89","4","5","1","0.51","-0.14","26","-","-","26","0.94","10","17","61","-","-","-","6","-","25","30","16","31","-","-","31","1.01","7","14","73","98"
"Latin America and the Caribbean","2014","617596.48960757","80","85","5","7","4","0.75","-0.41","66","5","16","12","1.24","-1.17","90","4","4","1","0.51","-0.14","27","-","-","27","0.94","10","17","62","-","-","-","6","-","25","30","16","32","-","-","32","1.01","7","14","74","99"
"Latin America and the Caribbean","2015","623934.1298275","80","86","4","6","3","0.75","-0.41","67","5","16","11","1.24","-1.17","90","4","4","1","0.51","-0.14","28","-","-","28","0.94","10","17","63","-","-","-","7","-","25","31","17","33","-","-","33","1.01","6","14","74","100"
"Latin America and the Caribbean","2016","630144.55263424","80","87","4","6","3","0.75","-0.41","68","6","16","10","1.24","-1.17","91","4","4","1","0.51","-0.14","29","-","-","29","0.94","10","17","64","-","-","-","7","-","25","32","17","34","-","-","34","1.01","6","14","75","101"
"Latin America and the Caribbean","2017","636233.1380434","80","87","4","6","2","0.75","-0.41","69","6","16","9","1.24","-1.17","91","4","4","<1","0.51","-0.14","30","-","-","30","0.94","10","17","65","-","-","-","8","-","25","33","18","36","-","-","36","1.01","6","13","76","102"
"Latin America and the Caribbean","2018","642216.70022011","81","88","4","6","2","0.75","-0.41","70","6","16","8","1.24","-1.17","92","4","3","<1","0.51","-0.14","32","-","-","31","0.94","10","17","65","-","-","-","8","-","25","33","18","37","-","-","37","1.01","6","13","77","103"
"Latin America and the Caribbean","2019","648120.9543345","81","88","4","6","2","0.75","-0.41","72","6","15","7","1.24","-1.17","92","4","3","<1","0.51","-0.14","33","-","-","33","0.94","9","17","66","-","-","-","9","-","25","34","19","38","-","-","38","1.01","6","13","78","104"
"Latin America and the Caribbean","2020","653962.32876658","81","89","4","5","2","0.75","-0.41","73","6","15","6","1.24","-1.17","93","4","3","<1","0.51","-0.14","34","-","-","34","0.94","9","17","67","-","-","-","9","-","25","35","19","40","-","-","40","1.01","6","13","78","105"
"Northern Africa and Western Asia","2000","355881.67019653","56","78","5","7","9","0.51","-0.32","63","5","12","19","0.67","-0.58","90","5","3","2","0.28","-0.08","25","-","-","25","0.85","16","23","45","-","-","-","7","-","23","31","15","38","-","-","38","0.89","10","17","68","106"
"Northern Africa and Western Asia","2001","362661.04452515","57","78","5","7","9","0.51","-0.32","64","5","12","19","0.67","-0.58","90","5","3","2","0.28","-0.08","25","-","-","25","0.85","15","23","46","-","-","-","8","-","23","31","15","38","-","-","38","0.89","9","17","69","107"
"Northern Africa and Western Asia","2002","369598.60812378","57","79","5","7","9","0.51","-0.32","65","5","12","18","0.67","-0.58","90","5","3","2","0.28","-0.08","26","-","-","26","0.85","15","23","46","-","-","-","8","-","22","31","16","39","-","-","39","0.89","9","17","69","108"
"Northern Africa and Western Asia","2003","376756.16870117","57","79","5","7","9","0.51","-0.32","65","5","11","18","0.67","-0.58","90","5","3","2","0.28","-0.08","26","-","-","26","0.85","14","23","47","-","-","-","9","-","22","32","17","39","-","-","39","0.89","9","17","69","109"
"Northern Africa and Western Asia","2004","384203.32870483","58","80","5","7","8","0.51","-0.32","66","5","11","18","0.67","-0.58","90","5","3","2","0.28","-0.08","27","-","-","27","0.85","14","23","48","-","-","-","10","-","22","31","18","40","-","-","40","0.89","9","17","70","110"
"Northern Africa and Western Asia","2005","391985.54559326","58","81","5","7","8","0.51","-0.32","67","5","11","17","0.67","-0.58","91","5","3","1","0.28","-0.08","28","-","-","28","0.85","14","23","49","-","-","-","10","-","22","31","19","41","-","-","41","0.89","8","16","71","111"
"Northern Africa and Western Asia","2006","400125.55548096","58","81","5","6","8","0.51","-0.32","67","5","11","16","0.67","-0.58","91","5","3","1","0.28","-0.08","29","-","-","29","0.85","14","22","50","-","-","-","11","-","22","31","19","42","-","-","42","0.89","8","16","71","112"
"Northern Africa and Western Asia","2007","408601.63381958","59","82","5","6","7","0.51","-0.32","68","5","11","15","0.67","-0.58","91","4","3","1","0.28","-0.08","30","-","-","30","0.85","14","22","51","-","-","-","12","-","22","31","21","43","-","-","43","0.89","8","16","72","113"
"Northern Africa and Western Asia","2008","417355.40661621","59","83","5","6","7","0.51","-0.32","69","5","11","15","0.67","-0.58","92","4","3","1","0.28","-0.08","31","-","-","31","0.85","13","22","52","-","-","-","13","-","22","30","22","43","-","-","43","0.89","7","16","73","114"
"Northern Africa and Western Asia","2009","426301.13851929","60","83","4","6","6","0.51","-0.32","70","5","12","14","0.67","-0.58","92","4","3","<1","0.28","-0.08","32","-","-","32","0.85","13","22","53","-","-","-","14","-","21","30","23","44","-","-","44","0.89","7","16","73","115"
"Northern Africa and Western Asia","2010","435366.78887939","60","84","4","6","6","0.51","-0.32","71","5","12","13","0.67","-0.58","93","4","3","<1","0.28","-0.08","33","-","-","33","0.85","13","21","54","-","-","-","14","-","21","30","24","45","-","-","45","0.89","7","15","74","116"
"Northern Africa and Western Asia","2011","444534.98187256","60","84","4","6","5","0.51","-0.32","71","5","12","12","0.67","-0.58","93","4","3","<1","0.28","-0.08","34","-","-","34","0.85","12","21","55","-","-","-","15","-","21","30","25","46","-","-","46","0.89","7","15","75","117"
"Northern Africa and Western Asia","2012","453795.00616455","61","85","4","6","5","0.51","-0.32","72","5","12","12","0.67","-0.58","93","3","3","<1","0.28","-0.08","35","-","-","35","0.85","12","21","56","-","-","-","16","-","21","30","27","52","5","-","47","0.89","6","15","75","118"
"Northern Africa and Western Asia","2013","463088.04598999","61","86","4","6","4","0.51","-0.32","73","5","12","11","0.67","-0.58","94","3","3","<1","0.28","-0.08","36","-","-","36","0.85","12","21","57","-","-","-","17","-","20","29","28","52","5","-","47","0.89","6","15","76","119"
"Northern Africa and Western Asia","2014","472346.60546875","61","86","4","6","4","0.51","-0.32","74","4","12","10","0.67","-0.58","94","3","2","<1","0.28","-0.08","36","-","-","36","0.85","11","20","58","-","-","-","18","-","20","29","29","53","5","-","48","0.89","6","15","76","120"
"Northern Africa and Western Asia","2015","481520.0166626","62","87","4","6","4","0.51","-0.32","74","4","12","9","0.67","-0.58","94","3","2","<1","0.28","-0.08","37","-","-","37","0.85","11","20","59","-","-","-","18","-","20","29","30","53","5","-","49","0.89","6","15","77","121"
"Northern Africa and Western Asia","2016","490570.99719238","62","87","3","6","3","0.51","-0.32","75","4","12","8","0.67","-0.58","95","3","2","<1","0.28","-0.08","38","-","-","38","0.85","11","20","60","-","-","-","19","-","20","29","31","54","5","-","49","0.89","6","14","78","122"
"Northern Africa and Western Asia","2017","499496.95648193","62","88","3","6","3","0.51","-0.32","76","4","12","8","0.67","-0.58","95","3","2","<1","0.28","-0.08","39","-","-","39","0.85","11","19","61","-","-","-","20","-","20","28","32","55","4","-","50","0.89","6","14","78","123"
"Northern Africa and Western Asia","2018","508325.58300781","63","88","3","6","3","0.51","-0.32","76","4","12","8","0.67","-0.58","95","3","2","<1","0.28","-0.08","40","-","-","40","0.85","11","19","62","-","-","-","21","-","20","28","33","55","4","-","51","0.89","5","14","79","124"
"Northern Africa and Western Asia","2019","517105.56359863","63","88","3","6","3","0.51","-0.32","77","4","12","8","0.67","-0.58","95","3","2","<1","0.28","-0.08","40","-","-","40","0.85","11","18","62","-","-","-","22","-","19","27","34","56","4","-","51","0.89","5","13","79","125"
"Northern Africa and Western Asia","2020","525869.29083252","63","88","3","6","3","0.51","-0.32","77","4","12","7","0.67","-0.58","95","2","2","<1","0.28","-0.08","42","-","-","41","0.85","10","18","63","-","-","-","23","-","18","27","35","56","4","-","52","0.89","5","13","80","126"
"Oceania","2000","8574.6608335972","23","35","4","48","13","-0.01","0.11","23","3","59","16","0.04","0.14","75","8","14","3","-0.17","0.01","-","-","-","4","-","13","18","8","-","-","-","<1","-","13","11","2","-","-","-","16","-","10","44","29","127"
"Oceania","2001","8734.9349261522","23","35","4","48","13","-0.01","0.11","23","3","59","16","0.04","0.14","75","8","14","3","-0.17","0.01","-","-","-","4","-","13","18","8","-","-","-","<1","-","14","10","2","-","-","-","16","-","10","43","30","128"
"Oceania","2002","8890.3301068544","23","35","4","49","13","-0.01","0.11","23","3","59","16","0.04","0.14","75","8","14","3","-0.17","0.01","-","-","-","4","-","13","18","8","-","-","-","<1","-","14","10","2","-","-","-","16","-","10","43","30","129"
"Oceania","2003","9045.1699451208","23","35","4","49","13","-0.01","0.11","23","3","59","16","0.04","0.14","75","8","14","3","-0.17","0.01","-","-","-","4","-","13","18","8","-","-","-","<1","-","14","10","2","-","-","-","16","-","10","43","30","130"
"Oceania","2004","9205.691083312","23","35","4","49","13","-0.01","0.11","23","3","59","16","0.04","0.14","75","8","14","3","-0.17","0.01","-","-","-","4","-","13","18","8","-","-","-","<1","-","14","10","2","-","-","-","16","-","10","43","30","131"
"Oceania","2005","9376.316868782","23","35","4","48","13","-0.01","0.11","23","3","59","16","0.04","0.14","75","8","14","3","-0.17","0.01","-","-","-","4","-","13","17","8","-","-","-","<1","-","14","10","2","-","-","-","16","-","10","43","30","132"
"Oceania","2006","9558.8911106586","23","35","4","48","13","-0.01","0.11","23","3","58","16","0.04","0.14","75","8","14","3","-0.17","0.01","-","-","-","4","-","13","17","8","-","-","-","<1","-","15","10","2","-","-","-","15","-","10","44","30","133"
"Oceania","2007","9751.5409488678","23","35","4","48","13","-0.01","0.11","23","3","58","16","0.04","0.14","75","8","15","3","-0.17","0.01","-","-","-","4","-","14","17","8","-","-","-","<1","-","15","9","1","-","-","-","15","-","10","44","30","134"
"Oceania","2008","9950.7132184505","23","35","4","48","13","-0.01","0.11","23","3","58","16","0.04","0.14","75","8","15","3","-0.17","0.01","-","-","-","4","-","14","17","8","-","-","-","<1","-","15","9","1","-","-","-","15","-","10","44","29","135"
"Oceania","2009","10150.947929263","23","35","4","48","13","-0.01","0.11","23","3","57","17","0.04","0.14","75","8","15","3","-0.17","0.01","-","-","-","4","-","14","17","8","-","-","-","<1","-","15","9","2","-","-","-","16","-","10","43","30","136"
"Oceania","2010","10348.32222414","23","35","4","48","13","-0.01","0.11","23","3","57","17","0.04","0.14","75","8","15","3","-0.17","0.01","-","-","-","4","-","14","17","8","-","-","-","<1","-","15","9","2","-","-","-","16","-","10","42","30","137"
"Oceania","2011","10541.648766994","23","35","4","47","14","-0.01","0.11","23","3","57","17","0.04","0.14","74","8","15","3","-0.17","0.01","-","-","-","4","-","14","17","8","-","-","-","<1","-","15","9","2","-","-","-","16","-","10","41","31","138"
"Oceania","2012","10732.319933772","23","35","4","47","14","-0.01","0.11","23","3","57","17","0.04","0.14","74","8","15","3","-0.17","0.01","-","-","-","4","-","14","17","9","-","-","-","<1","-","15","10","2","-","-","-","16","-","10","41","31","139"
"Oceania","2013","10922.311152458","23","35","4","47","14","-0.01","0.11","23","3","56","17","0.04","0.14","74","8","15","3","-0.17","0.01","-","-","-","5","-","14","17","9","-","-","-","1","-","15","10","2","-","-","-","16","-","10","40","32","140"
"Oceania","2014","11114.681924462","23","35","4","47","14","-0.01","0.11","24","3","56","17","0.04","0.14","74","8","15","3","-0.17","0.01","-","-","-","5","-","14","16","9","-","-","-","1","-","15","10","2","-","-","-","17","-","10","39","32","141"
"Oceania","2015","11311.666971803","23","35","4","47","14","-0.01","0.11","24","3","56","18","0.04","0.14","74","8","16","3","-0.17","0.01","-","-","-","5","-","14","16","9","-","-","-","1","-","15","10","2","-","-","-","17","-","11","38","33","142"
"Oceania","2016","11513.655582309","23","35","4","46","14","-0.01","0.11","24","3","55","18","0.04","0.14","74","8","16","3","-0.17","0.01","-","-","-","5","-","14","16","10","-","-","-","1","-","14","10","3","-","-","-","17","-","11","38","33","143"
"Oceania","2017","11719.831135392","23","35","5","46","14","-0.01","0.11","24","3","55","18","0.04","0.14","72","9","16","3","-0.17","0.01","-","-","-","5","-","14","16","9","-","-","-","1","-","14","10","3","-","-","-","16","-","11","38","32","144"
"Oceania","2018","11929.539217472","23","35","5","46","15","-0.01","0.11","24","3","55","18","0.04","0.14","72","9","16","3","-0.17","0.01","-","-","-","5","-","13","16","10","-","-","-","1","-","14","10","3","-","-","-","17","-","11","37","33","145"
"Oceania","2019","12141.786124945","23","35","5","46","15","-0.01","0.11","24","3","54","18","0.04","0.14","72","9","17","3","-0.17","0.01","-","-","-","5","-","13","16","10","-","-","-","1","-","14","10","3","-","-","-","17","-","11","37","33","146"
"Oceania","2020","12355.695293069","23","35","5","46","15","-0.01","0.11","24","4","54","19","0.04","0.14","71","9","17","3","-0.17","0.01","-","-","-","5","-","13","16","10","-","-","-","1","-","14","10","3","-","-","-","17","-","11","36","34","147"
"Sub-Saharan Africa","2000","633461.99114895","32","23","15","30","32","0.50","-0.72","16","8","32","43","0.33","-0.79","37","30","24","10","0.49","-0.21","14","14","-","-","0.34","28","3","7","14","14","-","-","0.29","23","<1","1","16","16","-","-","0.38","38","8","20","148"
"Sub-Saharan Africa","2001","650179.3676219","32","23","15","30","32","0.50","-0.72","17","9","33","42","0.33","-0.79","37","30","24","9","0.49","-0.21","15","15","-","-","0.34","28","3","7","14","14","-","-","0.29","23","<1","1","16","16","-","-","0.38","39","8","20","149"
"Sub-Saharan Africa","2002","667344.9291954","32","24","16","30","31","0.50","-0.72","17","9","33","41","0.33","-0.79","37","30","23","9","0.49","-0.21","15","15","-","-","0.34","29","3","7","14","14","-","-","0.29","24","<1","1","17","17","-","-","0.38","39","8","20","150"
"Sub-Saharan Africa","2003","685022.00971508","33","24","16","30","30","0.50","-0.72","17","9","34","41","0.33","-0.79","38","30","23","9","0.49","-0.21","15","15","-","-","0.34","29","3","7","14","14","-","-","0.29","24","<1","1","17","17","-","-","0.38","39","9","20","151"
"Sub-Saharan Africa","2004","703286.57362509","33","25","16","30","29","0.50","-0.72","18","9","34","40","0.33","-0.79","38","30","23","9","0.49","-0.21","16","16","-","-","0.34","29","4","7","15","15","-","-","0.29","24","<1","1","17","17","-","-","0.38","40","10","20","152"
"Sub-Saharan Africa","2005","722197.07977676","34","25","16","30","29","0.50","-0.72","18","9","34","39","0.33","-0.79","39","30","22","9","0.49","-0.21","16","16","-","-","0.34","30","4","7","15","15","-","-","0.29","25","<1","1","18","18","-","-","0.38","40","10","19","153"
"Sub-Saharan Africa","2006","741781.01489115","34","26","16","30","28","0.50","-0.72","18","9","35","38","0.33","-0.79","39","31","22","8","0.49","-0.21","16","16","-","-","0.34","30","5","7","15","15","-","-","0.29","25","1","1","18","18","-","-","0.38","40","11","19","154"
"Sub-Saharan Africa","2007","762041.57454872","35","26","16","30","27","0.50","-0.72","19","9","35","37","0.33","-0.79","40","31","21","8","0.49","-0.21","17","17","-","-","0.34","30","5","7","16","16","-","-","0.29","25","1","1","19","19","-","-","0.38","40","12","19","155"
"Sub-Saharan Africa","2008","782980.46383667","35","27","17","30","26","0.50","-0.72","19","9","36","37","0.33","-0.79","40","31","21","8","0.49","-0.21","17","17","-","-","0.34","30","5","7","16","16","-","-","0.29","25","1","1","19","19","-","-","0.38","40","13","19","156"
"Sub-Saharan Africa","2009","804588.1967144","36","27","17","31","26","0.50","-0.72","19","9","36","36","0.33","-0.79","41","31","21","8","0.49","-0.21","17","17","-","-","0.34","31","6","7","16","16","-","-","0.29","26","1","1","19","19","-","-","0.38","40","14","18","157"
"Sub-Saharan Africa","2010","826855.38051748","36","28","17","31","25","0.50","-0.72","20","9","36","35","0.33","-0.79","41","31","20","7","0.49","-0.21","18","18","-","-","0.34","31","6","7","17","17","-","-","0.29","26","2","1","20","20","-","-","0.38","40","15","18","158"
"Sub-Saharan Africa","2011","859610.522089","37","28","17","30","25","0.50","-0.72","20","9","37","35","0.33","-0.79","42","31","20","7","0.49","-0.21","18","18","-","-","0.34","31","7","7","17","17","-","-","0.29","26","2","1","20","20","-","-","0.38","39","15","18","159"
"Sub-Saharan Africa","2012","883472.69235182","37","28","17","30","24","0.50","-0.72","20","9","37","34","0.33","-0.79","42","31","19","7","0.49","-0.21","18","18","-","-","0.34","31","7","7","17","17","-","-","0.29","26","2","1","20","20","-","-","0.38","39","16","18","160"
"Sub-Saharan Africa","2013","907933.92969513","38","29","17","30","23","0.50","-0.72","21","9","37","33","0.33","-0.79","43","31","19","7","0.49","-0.21","19","19","-","-","0.34","31","8","7","17","17","-","-","0.29","26","2","1","21","21","-","-","0.38","39","17","18","161"
"Sub-Saharan Africa","2014","932975.0355916","38","30","18","31","22","0.50","-0.72","21","9","38","32","0.33","-0.79","43","31","19","7","0.49","-0.21","19","19","-","-","0.34","31","8","7","18","18","-","-","0.29","27","2","1","21","21","-","-","0.38","39","18","17","162"
"Sub-Saharan Africa","2015","958577.19660616","39","30","18","31","22","0.50","-0.72","21","9","38","31","0.33","-0.79","44","31","18","7","0.49","-0.21","19","19","-","-","0.34","32","9","7","18","18","-","-","0.29","27","2","1","22","22","-","-","0.38","39","19","17","163"
"Sub-Saharan Africa","2016","984733.52669525","39","31","18","31","21","0.50","-0.72","22","9","39","31","0.33","-0.79","44","31","18","6","0.49","-0.21","20","20","-","-","0.34","32","10","7","18","18","-","-","0.29","27","2","1","22","22","-","-","0.38","39","20","17","164"
"Sub-Saharan Africa","2017","1011429.0808148","40","31","18","31","20","0.50","-0.72","22","9","39","29","0.33","-0.79","45","32","18","6","0.49","-0.21","20","20","-","-","0.34","32","10","7","19","19","-","-","0.29","28","3","1","22","22","-","-","0.38","39","21","17","165"
"Sub-Saharan Africa","2018","1038627.2137666","40","32","18","31","19","0.50","-0.72","22","9","40","29","0.33","-0.79","45","32","17","6","0.49","-0.21","20","20","-","-","0.34","32","11","7","19","19","-","-","0.29","28","3","1","23","23","-","-","0.38","38","22","17","166"
"Sub-Saharan Africa","2019","1066283.4186049","41","32","18","31","19","0.50","-0.72","23","9","40","28","0.33","-0.79","46","32","17","5","0.49","-0.21","21","21","-","-","0.34","32","11","7","19","19","-","-","0.29","28","3","1","23","23","-","-","0.38","38","23","16","167"
"Sub-Saharan Africa","2020","1094365.6222849","42","33","19","31","18","0.50","-0.72","23","9","41","27","0.33","-0.79","46","32","17","5","0.49","-0.21","21","21","-","-","0.34","32","12","7","19","19","-","-","0.29","28","3","1","23","23","-","-","0.38","38","24","16","168"
"Low-income","2000","395568.81311035","28","24","9","30","38","0.34","-0.95","16","5","31","49","0.32","-1.11","44","19","27","9","0.11","-0.27","14","14","-","-","0.20","23","3","7","13","13","-","-","0.19","18","<1","2","17","17","-","-","0.17","34","7","22","169"
"Low-income","2001","406675.62512207","28","24","9","30","37","0.34","-0.95","16","5","31","48","0.32","-1.11","44","20","27","9","0.11","-0.27","14","14","-","-","0.20","23","3","7","13","13","-","-","0.19","19","<1","2","17","17","-","-","0.17","34","7","22","170"
"Low-income","2002","418245.52453613","28","25","9","30","36","0.34","-0.95","17","5","31","47","0.32","-1.11","43","20","27","9","0.11","-0.27","13","13","-","-","0.20","23","2","8","12","12","-","-","0.19","18","<1","3","17","17","-","-","0.17","36","7","21","171"
"Low-income","2003","430231.0032959","28","25","10","31","35","0.34","-0.95","17","5","32","46","0.32","-1.11","44","21","27","9","0.11","-0.27","14","14","-","-","0.20","24","3","8","12","12","-","-","0.19","18","<1","3","17","17","-","-","0.17","37","7","21","172"
"Low-income","2004","442551.70739746","29","25","10","31","34","0.34","-0.95","18","5","33","45","0.32","-1.11","44","21","27","9","0.11","-0.27","14","14","-","-","0.20","24","3","8","13","13","-","-","0.19","19","1","3","17","17","-","-","0.17","37","7","21","173"
"Low-income","2005","455143.71313477","29","25","10","31","33","0.34","-0.95","18","5","33","43","0.32","-1.11","44","21","26","8","0.11","-0.27","14","14","-","-","0.20","24","3","8","13","13","-","-","0.19","19","1","3","17","17","-","-","0.17","37","7","20","174"
"Low-income","2006","468019.62023926","29","26","10","32","32","0.34","-0.95","18","6","34","42","0.32","-1.11","44","22","26","8","0.11","-0.27","14","14","-","-","0.20","25","3","8","13","13","-","-","0.19","19","1","3","17","17","-","-","0.17","38","8","20","175"
"Low-income","2007","481190.31213379","29","26","10","32","31","0.34","-0.95","19","6","35","41","0.32","-1.11","44","22","26","8","0.11","-0.27","15","15","-","-","0.20","25","3","8","13","13","-","-","0.19","20","1","3","18","18","-","-","0.17","38","8","20","176"
"Low-income","2008","494587.76159668","30","27","11","33","30","0.34","-0.95","19","6","35","40","0.32","-1.11","45","22","26","7","0.11","-0.27","15","15","-","-","0.20","26","4","8","14","14","-","-","0.19","20","2","3","18","18","-","-","0.17","38","9","20","177"
"Low-income","2009","508125.47485352","30","27","11","33","29","0.34","-0.95","20","6","36","38","0.32","-1.11","45","22","26","7","0.11","-0.27","15","15","-","-","0.20","26","4","8","14","14","-","-","0.19","21","2","3","18","18","-","-","0.17","38","9","20","178"
"Low-income","2010","521751.66088867","31","28","11","33","28","0.34","-0.95","20","6","37","37","0.32","-1.11","45","23","25","7","0.11","-0.27","16","16","-","-","0.20","27","4","8","14","14","-","-","0.19","21","2","3","18","18","-","-","0.17","38","10","20","179"
"Low-income","2011","545264.97729492","31","27","11","33","28","0.34","-0.95","20","6","37","37","0.32","-1.11","45","23","25","7","0.11","-0.27","16","16","-","-","0.20","27","5","8","14","14","-","-","0.19","21","2","3","18","18","-","-","0.17","39","10","19","180"
