"DRINKING WATER","Year","Population 
(thousands)","% urban","NATIONAL","","","","","RURAL","","","","","URBAN","","","","","NATIONAL","","","","","","","RURAL","","","","","","","URBAN","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","",""
"","","","","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Sl"
"Central and Southern Asia","2002","1566364.4360962","30","83","3","11","2","0.45","79","4","14","3","0.58","94","2","4","<1","0.05","48","51","78","52","0.81","43","44","40","40","73","46","1.21","30","53","65","76","91","65","-0.13","72","23","24"
"Central and Southern Asia","2003","1593507.3413391","31","84","3","11","2","0.45","79","4","14","3","0.58","94","2","4","<1","0.05","48","52","78","52","0.81","43","45","41","41","72","46","1.21","30","54","65","76","90","65","-0.13","72","24","25"
"Central and Southern Asia","2004","1620441.571106","31","84","4","10","2","0.45","80","4","13","3","0.58","94","2","4","<1","0.05","49","53","77","52","0.81","43","45","42","42","72","47","1.21","30","54","65","76","89","65","-0.13","71","24","26"
"Central and Southern Asia","2005","1647073.7259521","31","85","4","10","2","0.45","80","4","12","3","0.58","94","2","4","<1","0.05","50","54","77","52","0.81","43","46","43","43","72","47","1.21","30","55","65","77","89","65","-0.13","71","25","27"
"Central and Southern Asia","2006","1673377.8163452","32","85","4","9","2","0.45","81","4","12","3","0.58","94","2","4","<1","0.05","51","55","76","53","0.81","43","46","44","44","71","47","1.21","30","56","64","77","88","64","-0.13","71","25","28"
"Central and Southern Asia","2007","1699363.6958618","32","86","4","9","2","0.45","82","4","11","3","0.58","94","2","4","<1","0.05","51","56","76","53","0.81","43","47","46","46","71","47","1.21","30","56","64","77","87","64","-0.13","70","26","29"
"Central and Southern Asia","2008","1725021.1693726","32","86","4","8","2","0.45","82","4","11","3","0.58","94","2","3","<1","0.05","52","57","75","53","0.81","43","47","47","47","70","48","1.21","30","57","64","77","86","64","-0.13","70","26","30"
"Central and Southern Asia","2009","1750350.9543457","33","86","4","8","2","0.45","83","4","10","2","0.58","94","2","3","<1","0.05","53","58","75","54","0.81","43","48","48","48","70","50","1.21","30","58","63","78","86","63","-0.13","69","27","31"
"Central and Southern Asia","2010","1775360.4952087","33","87","4","8","2","0.45","83","5","10","2","0.58","94","2","3","<1","0.05","54","59","74","55","0.81","43","48","49","49","69","51","1.21","30","58","63","78","85","63","-0.13","69","27","32"
"Central and Southern Asia","2011","1800024.375946","33","87","4","7","2","0.45","84","5","9","2","0.58","94","2","3","<1","0.05","55","60","74","56","0.81","43","49","50","50","68","53","1.21","30","59","63","78","84","63","-0.13","68","28","33"
"Central and Southern Asia","2012","1824353.2079773","34","88","4","7","2","0.45","85","5","9","2","0.58","94","2","3","<1","0.05","55","61","73","58","0.81","43","49","52","52","68","55","1.21","29","60","63","78","83","63","-0.13","68","29","34"
