"DRINKING WATER","Year","Population 
(thousands)","% urban","NATIONAL","","","","","RURAL","","","","","URBAN","","","","","NATIONAL","","","","","","","RURAL","","","","","","","URBAN","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","",""
"","","","","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Sl"
"Latin America and the Caribbean","2020","653962.32876658","81","97","<1","1","<1","0.34","90","1","4","4","0.93",">99","<1","<1","<1","0.12","75","94","78","79","0.18","92","6","53","82","66","53","0.62","77","15","81","97","81","86","-0.06","96","3","105"
"Northern Africa and Western Asia","2000","355881.67019653","56","84","5","9","2","0.41","71","7","17","5","0.66","94","3","3","<1","0.14","68","75","68","72","0.54","76","12","-","57","57","-","-","59","19","76","88","76","80","0.28","90","7","106"
"Northern Africa and Western Asia","2001","362661.04452515","57","84","5","9","2","0.41","72","7","17","5","0.66","94","3","3","<1","0.14","68","75","68","72","0.54","77","12","-","58","58","-","-","59","19","77","88","77","80","0.28","90","7","107"
"Northern Africa and Western Asia","2002","369598.60812378","57","84","5","9","2","0.41","72","7","17","5","0.66","94","3","3","<1","0.14","68","75","69","72","0.54","77","12","-","58","58","-","-","60","19","77","88","77","80","0.28","89","7","108"
"Northern Africa and Western Asia","2003","376756.16870117","57","85","5","9","2","0.41","72","7","16","4","0.66","94","3","3","<1","0.14","69","76","69","73","0.54","77","13","-","59","59","-","-","60","19","77","89","77","80","0.28","89","8","109"
"Northern Africa and Western Asia","2004","384203.32870483","58","85","5","8","2","0.41","73","7","16","4","0.66","94","3","3","<1","0.14","70","77","70","73","0.54","77","13","-","60","59","-","-","61","19","78","89","78","80","0.28","89","8","110"
"Northern Africa and Western Asia","2005","391985.54559326","58","86","5","8","2","0.41","74","7","15","4","0.66","94","3","3","<1","0.14","70","77","71","73","0.54","77","13","-","61","60","-","-","61","20","79","89","79","81","0.28","89","8","111"
"Northern Africa and Western Asia","2006","400125.55548096","58","86","5","7","2","0.41","74","8","14","4","0.66","94","3","2","<1","0.14","71","78","72","74","0.54","78","13","-","61","61","-","-","62","20","79","89","79","81","0.28","89","8","112"
"Northern Africa and Western Asia","2007","408601.63381958","59","87","5","7","2","0.41","75","8","13","4","0.66","95","3","2","<1","0.14","72","78","73","74","0.54","78","13","-","62","62","-","-","63","20","80","90","80","81","0.28","89","8","113"
"Northern Africa and Western Asia","2008","417355.40661621","59","87","5","6","2","0.41","76","8","12","4","0.66","95","3","2","<1","0.14","73","79","74","75","0.54","79","13","-","63","63","-","-","64","20","81","90","81","81","0.28","89","9","114"
"Northern Africa and Western Asia","2009","426301.13851929","60","88","5","6","2","0.41","77","8","11","4","0.66","95","3","2","<1","0.14","74","80","75","75","0.54","79","13","-","64","64","-","-","65","20","81","90","82","81","0.28","89","9","115"
"Northern Africa and Western Asia","2010","435366.78887939","60","88","5","5","2","0.41","78","8","10","4","0.66","95","3","2","<1","0.14","75","80","76","76","0.54","80","14","-","65","65","-","-","65","20","82","91","82","82","0.28","89","9","116"
"Northern Africa and Western Asia","2011","444534.98187256","60","89","5","5","2","0.41","78","8","9","4","0.66","95","3","2","<1","0.14","76","81","76","76","0.54","80","14","-","66","66","-","-","66","21","82","91","83","82","0.28","89","9","117"
"Northern Africa and Western Asia","2012","453795.00616455","61","89","5","4","2","0.41","79","9","9","4","0.66","95","3","1","<1","0.14","76","82","77","77","0.54","81","14","-","67","67","-","-","67","21","82","91","83","82","0.28","89","9","118"
"Northern Africa and Western Asia","2013","463088.04598999","61","90","5","4","2","0.41","80","9","8","4","0.66","96","3","1","<1","0.14","76","82","77","77","0.54","81","14","-","68","68","-","-","68","21","82","92","83","82","0.28","89","9","119"
"Northern Africa and Western Asia","2014","472346.60546875","61","90","5","3","1","0.41","81","9","7","4","0.66","96","3","1","<1","0.14","77","83","77","77","0.54","81","14","-","69","69","-","-","69","21","82","92","83","82","0.28","89","9","120"
"Northern Africa and Western Asia","2015","481520.0166626","62","90","5","3","1","0.41","82","9","6","3","0.66","96","3","<1","<1","0.14","77","84","78","78","0.54","82","14","-","70","69","-","-","70","21","82","92","83","82","0.28","89","10","121"
"Northern Africa and Western Asia","2016","490570.99719238","62","91","5","2","1","0.41","82","9","5","3","0.66","96","3","<1","<1","0.14","78","84","78","78","0.54","82","14","-","71","70","-","-","71","21","82","92","83","82","0.28","90","10","122"
"Northern Africa and Western Asia","2017","499496.95648193","62","91","5","2","1","0.41","83","9","4","3","0.66","96","3","<1","<1","0.14","78","85","79","78","0.54","83","14","-","72","71","-","-","71","21","82","92","83","82","0.28","90","10","123"
"Northern Africa and Western Asia","2018","508325.58300781","63","91","5","2","1","0.41","83","9","4","3","0.66","96","3","<1","<1","0.14","78","85","79","79","0.54","83","14","-","73","71","-","-","72","21","82","92","83","82","0.28","90","10","124"
"Northern Africa and Western Asia","2019","517105.56359863","63","92","6","2","1","0.41","84","10","3","3","0.66","96","3","<1","<1","0.14","78","85","79","79","0.54","83","14","-","73","72","-","-","73","21","82","92","84","82","0.28","89","10","125"
"Northern Africa and Western Asia","2020","525869.29083252","63","92","6","1","1","0.41","85","10","3","3","0.66","96","3","<1","<1","0.14","79","86","79","79","0.54","83","14","-","74","72","-","-","73","21","82","92","84","82","0.28","89","10","126"
"Oceania","2000","8574.6608335972","23","51","1","15","32","0.31","39","1","18","42","0.39","92","2","5","1","0.06","-","35","32","-","-","37","16","-","25","26","-","-","23","18","53","69","53","84","-0.03","83","11","127"
"Oceania","2001","8734.9349261522","23","51","1","15","32","0.31","39","1","18","42","0.39","91","2","5","1","0.06","-","35","32","-","-","38","14","-","25","26","-","-","25","16","53","69","53","83","-0.03","84","10","128"
"Oceania","2002","8890.3301068544","23","51","1","15","32","0.31","39","1","18","42","0.39","91","2","5","1","0.06","-","35","32","-","-","38","14","-","25","26","-","-","24","16","53","69","53","83","-0.03","84","10","129"
"Oceania","2003","9045.1699451208","23","51","1","15","33","0.31","39","1","18","42","0.39","91","2","5","1","0.06","-","35","32","-","-","38","14","-","25","26","-","-","24","16","53","69","53","83","-0.03","84","10","130"
"Oceania","2004","9205.691083312","23","51","1","15","33","0.31","39","1","18","42","0.39","91","2","5","1","0.06","-","35","32","-","-","38","14","-","24","26","-","-","24","16","53","69","53","83","-0.03","84","10","131"
"Oceania","2005","9376.316868782","23","51","1","15","32","0.31","39","1","18","41","0.39","91","2","5","1","0.06","-","35","32","-","-","38","15","-","25","26","-","-","24","16","53","69","53","83","-0.03","83","10","132"
"Oceania","2006","9558.8911106586","23","52","1","15","32","0.31","40","1","19","40","0.39","91","2","5","1","0.06","-","35","32","-","-","37","16","-","25","26","-","-","24","17","53","69","53","83","-0.03","83","11","133"
"Oceania","2007","9751.5409488678","23","52","2","16","31","0.31","40","1","19","40","0.39","91","2","5","2","0.06","-","35","32","-","-","37","16","-","25","26","-","-","23","18","53","69","53","82","-0.03","82","11","134"
"Oceania","2008","9950.7132184505","23","52","2","16","30","0.31","41","1","19","39","0.39","91","2","5","2","0.06","-","35","33","-","-","37","17","-","25","27","-","-","23","19","53","69","53","82","-0.03","82","12","135"
"Oceania","2009","10150.947929263","23","53","2","16","30","0.31","41","1","19","38","0.39","91","2","5","2","0.06","-","36","33","-","-","36","18","-","25","27","-","-","23","20","53","71","53","82","-0.03","81","12","136"
"Oceania","2010","10348.32222414","23","53","2","16","29","0.31","42","2","20","37","0.39","92","2","5","2","0.06","-","36","33","-","-","36","19","-","26","27","-","-","23","20","53","72","53","82","-0.03","81","13","137"
"Oceania","2011","10541.648766994","23","53","2","16","29","0.31","42","2","20","37","0.39","92","2","5","2","0.06","-","37","33","-","-","36","19","-","26","27","-","-","22","21","53","74","53","81","-0.03","80","14","138"
"Oceania","2012","10732.319933772","23","54","2","17","28","0.31","43","2","20","36","0.39","92","2","4","2","0.06","-","38","33","-","-","35","20","-","26","28","-","-","22","22","53","76","53","81","-0.03","79","14","139"
"Oceania","2013","10922.311152458","23","54","2","17","27","0.31","43","2","20","35","0.39","92","2","4","2","0.06","-","38","34","-","-","35","21","-","27","28","-","-","22","23","53","77","53","81","-0.03","79","15","140"
"Oceania","2014","11114.681924462","23","55","2","17","27","0.31","44","2","21","34","0.39","92","1","4","2","0.06","-","39","34","-","-","35","22","-","27","28","-","-","22","24","53","79","53","80","-0.03","78","15","141"
"Oceania","2015","11311.666971803","23","55","2","17","26","0.31","44","2","21","33","0.39","92","1","4","2","0.06","-","40","34","-","-","34","22","-","28","29","-","-","22","24","53","81","53","80","-0.03","78","16","142"
"Oceania","2016","11513.655582309","23","55","2","17","25","0.31","45","2","21","32","0.39","92","1","4","2","0.06","-","40","34","-","-","34","23","-","28","29","-","-","21","25","53","83","53","79","-0.03","77","17","143"
"Oceania","2017","11719.831135392","23","56","2","17","25","0.31","45","2","21","31","0.39","92","1","4","2","0.06","-","41","35","-","-","33","25","-","29","29","-","-","21","26","53","84","53","79","-0.03","74","19","144"
"Oceania","2018","11929.539217472","23","56","2","18","24","0.31","46","2","22","30","0.39","93","1","4","3","0.06","-","42","35","-","-","33","25","-","29","30","-","-","21","27","53","86","53","79","-0.03","74","20","145"
"Oceania","2019","12141.786124945","23","57","2","18","23","0.31","46","2","22","30","0.39","93","<1","4","3","0.06","-","43","35","-","-","33","26","-","30","30","-","-","21","28","53","88","53","78","-0.03","73","20","146"
"Oceania","2020","12355.695293069","23","57","2","18","23","0.31","47","3","22","29","0.39","93","<1","4","3","0.06","-","44","36","-","-","33","27","-","30","30","-","-","21","28","53","90","53","78","-0.03","72","21","147"
"Sub-Saharan Africa","2000","633461.99114895","32","45","9","27","19","0.99","30","9","35","26","0.94","77","9","10","4","0.50","17","17","41","27","0.65","29","25","6","6","31","15","0.35","13","26","41","41","62","53","0.65","65","21","148"
"Sub-Saharan Africa","2001","650179.3676219","32","46","9","27","18","0.99","31","9","35","25","0.94","77","9","10","4","0.50","17","17","42","27","0.65","30","25","6","6","32","15","0.35","13","27","41","41","63","53","0.65","64","22","149"
"Sub-Saharan Africa","2002","667344.9291954","32","47","10","26","18","0.99","32","10","34","24","0.94","78","9","10","3","0.50","18","18","43","28","0.65","30","26","7","7","33","15","0.35","13","28","41","41","63","53","0.65","64","23","150"
"Sub-Saharan Africa","2003","685022.00971508","33","48","10","26","17","0.99","33","10","34","24","0.94","78","9","9","3","0.50","18","18","43","28","0.65","30","27","7","7","34","16","0.35","14","29","42","42","63","53","0.65","63","24","151"
"Sub-Saharan Africa","2004","703286.57362509","33","49","10","25","16","0.99","34","10","33","23","0.94","78","9","9","3","0.50","19","19","44","28","0.65","30","28","7","7","35","16","0.35","14","30","42","42","63","53","0.65","63","25","152"
"Sub-Saharan Africa","2005","722197.07977676","34","50","10","24","16","0.99","35","11","32","22","0.94","79","9","9","3","0.50","19","19","45","29","0.65","31","29","7","7","36","16","0.35","15","31","43","43","63","53","0.65","62","26","153"
"Sub-Saharan Africa","2006","741781.01489115","34","51","10","24","15","0.99","36","11","32","22","0.94","79","9","9","3","0.50","20","20","46","29","0.65","31","30","8","8","37","17","0.35","15","32","44","44","63","53","0.65","62","27","154"
"Sub-Saharan Africa","2007","762041.57454872","35","52","11","23","15","0.99","37","12","31","21","0.94","80","9","8","3","0.50","21","21","47","29","0.65","31","31","8","8","38","17","0.35","15","33","45","45","64","53","0.65","61","27","155"
"Sub-Saharan Africa","2008","782980.46383667","35","53","11","23","14","0.99","38","12","31","20","0.94","80","9","8","3","0.50","21","21","48","30","0.65","32","32","8","8","39","17","0.35","16","34","45","45","64","53","0.65","61","28","156"
"Sub-Saharan Africa","2009","804588.1967144","36","54","11","22","13","0.99","38","12","30","19","0.94","81","9","8","3","0.50","22","22","49","30","0.65","32","33","9","9","40","18","0.35","16","35","46","46","64","53","0.65","60","29","157"
"Sub-Saharan Africa","2010","826855.38051748","36","55","11","21","13","0.99","39","13","29","18","0.94","81","9","8","2","0.50","23","23","50","31","0.65","32","34","9","9","41","18","0.35","16","36","47","47","64","53","0.65","60","30","158"
"Sub-Saharan Africa","2011","859610.522089","37","56","11","21","12","0.99","40","13","29","18","0.94","82","8","7","2","0.50","23","23","51","31","0.65","32","35","9","9","43","18","0.35","17","37","47","47","64","53","0.65","59","31","159"
"Sub-Saharan Africa","2012","883472.69235182","37","57","12","20","12","0.99","41","14","28","17","0.94","82","8","7","2","0.50","24","24","51","31","0.65","33","36","10","10","44","19","0.35","17","38","48","48","65","53","0.65","59","32","160"
"Sub-Saharan Africa","2013","907933.92969513","38","58","12","20","11","0.99","42","14","27","16","0.94","83","8","7","2","0.50","25","25","52","32","0.65","33","37","10","10","45","19","0.35","17","39","49","49","65","53","0.65","58","33","161"
"Sub-Saharan Africa","2014","932975.0355916","38","59","12","19","10","0.99","43","14","27","15","0.94","83","8","7","2","0.50","26","26","53","33","0.65","33","38","11","11","46","20","0.35","18","40","50","50","65","53","0.65","58","33","162"
"Sub-Saharan Africa","2015","958577.19660616","39","60","12","18","10","0.99","44","15","26","15","0.94","84","8","6","2","0.50","27","27","54","33","0.65","33","38","11","11","47","20","0.35","18","41","51","51","66","53","0.65","58","34","163"
"Sub-Saharan Africa","2016","984733.52669525","39","61","12","18","9","0.99","45","15","26","14","0.94","85","8","6","2","0.50","28","28","55","34","0.65","34","39","12","12","48","21","0.35","18","42","52","52","66","53","0.65","57","35","164"
"Sub-Saharan Africa","2017","1011429.0808148","40","62","12","17","8","0.99","46","16","25","13","0.94","85","7","6","2","0.50","28","28","56","34","0.65","34","40","12","12","49","22","0.35","19","43","53","53","66","53","0.65","57","36","165"
"Sub-Saharan Africa","2018","1038627.2137666","40","63","13","17","8","0.99","47","16","24","12","0.94","86","7","6","1","0.50","29","29","57","35","0.65","34","41","13","13","50","22","0.35","19","44","53","54","67","53","0.65","56","37","166"
"Sub-Saharan Africa","2019","1066283.4186049","41","64","13","16","7","0.99","48","17","24","12","0.94","86","7","5","1","0.50","30","30","58","35","0.65","34","42","13","13","51","23","0.35","20","45","54","55","67","54","0.65","56","38","167"
"Sub-Saharan Africa","2020","1094365.6222849","42","65","13","16","7","0.99","49","17","23","11","0.94","87","7","5","1","0.50","30","31","59","36","0.65","35","43","13","13","52","23","0.35","20","46","54","56","68","54","0.65","56","38","168"
"Low-income","2000","395568.81311035","28","41","10","31","17","0.88","28","10","39","22","0.93","76","9","11","3","0.36","19","19","42","27","0.50","28","24","8","8","33","15","0.28","13","26","46","46","65","56","0.60","68","18","169"
"Low-income","2001","406675.62512207","28","42","10","31","17","0.88","29","11","38","22","0.93","76","10","11","3","0.36","19","19","43","27","0.50","28","24","9","9","34","16","0.28","13","27","46","46","65","56","0.60","68","18","170"
"Low-income","2002","418245.52453613","28","43","11","30","16","0.88","30","11","38","21","0.93","76","10","11","3","0.36","19","19","44","27","0.50","29","25","9","9","35","16","0.28","14","27","46","46","66","56","0.60","67","19","171"
"Low-income","2003","430231.0032959","28","44","11","30","15","0.88","31","12","37","20","0.93","77","10","11","3","0.36","20","20","45","27","0.50","29","26","9","9","36","16","0.28","14","28","47","47","66","56","0.60","67","19","172"
"Low-income","2004","442551.70739746","29","45","11","29","15","0.88","32","12","36","20","0.93","77","10","11","3","0.36","20","20","45","28","0.50","29","27","9","9","37","16","0.28","14","29","47","47","66","56","0.60","67","20","173"
"Low-income","2005","455143.71313477","29","45","12","28","14","0.88","33","13","36","19","0.93","77","10","10","3","0.36","20","20","47","28","0.50","30","27","9","9","39","16","0.28","15","30","48","48","66","56","0.60","67","20","174"
"Low-income","2006","468019.62023926","29","46","12","28","14","0.88","34","13","35","18","0.93","78","10","10","2","0.36","21","21","48","28","0.50","30","28","9","9","40","17","0.28","15","31","48","48","66","56","0.60","67","21","175"
"Low-income","2007","481190.31213379","29","47","13","27","13","0.88","35","14","34","18","0.93","78","10","9","2","0.36","21","21","49","29","0.50","31","29","10","10","41","17","0.28","16","32","49","49","67","57","0.60","67","21","176"
"Low-income","2008","494587.76159668","30","48","13","26","13","0.88","36","14","33","17","0.93","79","10","9","2","0.36","22","22","50","29","0.50","32","30","10","10","43","17","0.28","17","33","50","50","67","57","0.60","67","22","177"
"Low-income","2009","508125.47485352","30","49","13","25","12","0.88","37","15","32","16","0.93","79","10","9","2","0.36","22","22","51","29","0.50","32","31","10","10","44","18","0.28","17","34","50","50","67","57","0.60","67","22","178"
"Low-income","2010","521751.66088867","31","50","14","24","11","0.88","38","15","31","16","0.93","79","10","8","2","0.36","23","23","52","30","0.50","33","31","11","11","45","18","0.28","18","35","51","51","67","57","0.60","67","23","179"
"Low-income","2011","545264.97729492","31","51","14","23","11","0.88","39","16","30","15","0.93","79","11","8","2","0.36","23","23","53","30","0.50","33","33","11","11","47","18","0.28","18","37","51","51","67","57","0.60","66","24","180"
"Low-income","2012","559331.45410156","31","52","15","23","10","0.88","40","17","29","14","0.93","80","11","8","2","0.36","24","24","54","30","0.50","33","34","11","11","48","18","0.28","19","38","52","52","68","57","0.60","66","24","181"
"Low-income","2013","573577.26318359","31","53","15","22","10","0.88","41","17","29","14","0.93","80","11","7","2","0.36","24","24","55","31","0.50","34","34","11","11","49","19","0.28","19","39","52","52","68","57","0.60","66","25","182"
"Low-income","2014","588169.24853516","31","54","16","21","9","0.88","41","18","28","13","0.93","81","11","7","1","0.36","25","25","56","32","0.50","34","35","12","12","50","20","0.28","20","40","53","53","68","57","0.60","66","25","183"
"Low-income","2015","603234.48242188","32","55","16","21","9","0.88","42","18","27","12","0.93","81","11","6","1","0.36","25","25","57","32","0.50","35","36","12","12","52","21","0.28","20","41","54","54","69","58","0.60","66","26","184"
"Low-income","2016","618793.8302002","32","56","17","20","8","0.88","43","19","26","11","0.93","81","11","6","1","0.36","26","26","58","33","0.50","35","37","12","12","53","21","0.28","21","42","54","54","69","58","0.60","67","26","185"
"Low-income","2017","634827.76953125","32","56","17","19","8","0.88","44","19","26","11","0.93","82","11","6","1","0.36","27","27","59","34","0.50","36","38","13","13","54","22","0.28","21","43","55","55","70","58","0.60","67","27","186"
"Low-income","2018","651371.25805664","33","57","17","18","7","0.88","45","20","25","10","0.93","82","11","5","<1","0.36","27","27","60","34","0.50","36","38","13","13","55","23","0.28","21","44","56","56","70","58","0.60","67","27","187"
"Low-income","2019","668454.93017578","33","58","18","18","6","0.88","46","21","24","9","0.93","83","11","5","<1","0.36","28","28","61","35","0.50","37","39","14","14","56","24","0.28","22","45","57","57","70","58","0.60","67","27","188"
"Low-income","2020","686089.21508789","34","59","18","17","6","0.88","47","21","23","9","0.93","83","12","5","<1","0.36","29","29","62","36","0.50","37","40","14","14","57","24","0.28","22","46","58","58","71","58","0.60","67","27","189"
"Lower-middle-income","2000","2156281.0162811","32","77","4","13","5","0.54","71","5","17","7","0.67","91","3","5","1","0.15","43","45","72","48","0.75","41","41","34","34","66","41","1.19","27","49","62","69","85","62","-0.19","70","23","190"
"Lower-middle-income","2001","2195165.65905","32","78","4","13","5","0.54","72","5","16","7","0.67","91","3","5","1","0.15","44","46","72","48","0.75","41","41","35","35","66","41","1.19","27","49","62","69","84","62","-0.19","70","24","191"
"Lower-middle-income","2002","2234837.6719589","33","78","4","12","5","0.54","72","5","16","7","0.67","91","3","5","1","0.15","44","47","72","48","0.75","41","42","36","36","66","42","1.19","27","50","61","70","84","61","-0.19","70","25","192"
"Lower-middle-income","2003","2273573.021492","33","79","4","12","5","0.54","73","5","15","7","0.67","91","3","5","1","0.15","45","48","72","48","0.75","41","42","37","37","66","42","1.19","27","50","61","70","83","61","-0.19","69","25","193"
"Lower-middle-income","2004","2312406.0936966","33","79","4","11","5","0.54","74","5","15","7","0.67","91","3","4","1","0.15","46","49","72","48","0.75","41","42","38","38","66","42","1.19","28","51","61","70","83","61","-0.19","69","26","194"
"Lower-middle-income","2005","2351435.2243881","34","80","4","11","5","0.54","74","5","14","6","0.67","91","3","4","1","0.15","47","50","71","49","0.75","41","43","40","40","66","43","1.19","28","51","61","71","83","61","-0.19","68","26","195"
"Lower-middle-income","2006","2390693.1701736","34","81","4","11","4","0.54","75","5","14","6","0.67","91","3","4","1","0.15","47","51","71","49","0.75","42","43","41","41","66","43","1.19","28","52","60","71","82","60","-0.19","68","27","196"
"Lower-middle-income","2007","2430158.1434555","35","81","4","10","4","0.54","76","5","13","6","0.67","91","3","4","1","0.15","48","52","71","49","0.75","42","44","42","42","65","43","1.19","28","53","60","71","82","60","-0.19","68","27","197"
"Lower-middle-income","2008","2469807.5563202","35","82","4","10","4","0.54","76","5","13","6","0.67","92","3","4","<1","0.15","49","53","71","49","0.75","42","44","43","43","65","44","1.19","28","53","60","72","82","60","-0.19","67","28","198"
"Lower-middle-income","2009","2509598.5453339","35","82","5","9","4","0.54","77","5","12","6","0.67","92","3","4","<1","0.15","50","54","71","50","0.75","42","45","45","45","65","45","1.19","28","54","59","72","81","59","-0.19","67","28","199"
"Lower-middle-income","2010","2549498.30439","36","83","5","9","4","0.54","78","5","12","5","0.67","92","3","4","<1","0.15","51","55","71","51","0.75","42","45","46","46","65","47","1.19","28","54","59","72","81","59","-0.19","66","29","200"
"Lower-middle-income","2011","2589494.059967","36","83","5","9","4","0.54","78","5","11","5","0.67","92","3","4","<1","0.15","51","56","70","52","0.75","42","46","47","47","65","48","1.19","29","55","59","73","81","59","-0.19","66","30","201"
"Lower-middle-income","2012","2629594.2084885","37","84","5","8","3","0.54","79","5","11","5","0.67","92","3","4","<1","0.15","52","57","70","53","0.75","42","46","48","48","64","50","1.19","29","55","59","73","80","59","-0.19","65","30","202"
"Lower-middle-income","2013","2669811.1632309","37","84","5","8","3","0.54","80","5","10","5","0.67","92","3","3","<1","0.15","53","59","70","54","0.75","42","47","50","50","64","51","1.19","29","56","59","73","80","59","-0.19","65","31","203"
"Lower-middle-income","2014","2710163.9638901","37","85","5","7","3","0.54","80","5","10","5","0.67","92","3","3","<1","0.15","54","60","70","55","0.75","42","47","51","51","64","53","1.19","29","57","59","74","79","59","-0.19","65","31","204"
"Lower-middle-income","2015","2750658.0464325","38","85","5","7","3","0.54","81","5","9","4","0.67","93","3","3","<1","0.15","55","61","69","56","0.75","42","48","52","52","64","55","1.19","29","57","58","74","79","58","-0.19","64","32","205"
"Lower-middle-income","2016","2791286.1683578","38","86","5","7","3","0.54","82","5","9","4","0.67","93","3","3","<1","0.15","55","62","69","57","0.75","43","48","53","53","63","56","1.19","29","58","58","75","78","58","-0.19","64","32","206"
"Lower-middle-income","2017","2832014.2979889","39","87","5","6","3","0.54","82","5","8","4","0.67","93","3","3","<1","0.15","56","63","69","58","0.75","43","48","55","55","63","58","1.19","30","58","58","75","78","58","-0.19","63","33","207"
"Lower-middle-income","2018","2872787.4497299","39","87","5","6","3","0.54","83","5","8","4","0.67","93","3","3","<1","0.15","57","64","69","59","0.75","43","49","56","56","63","60","1.19","30","59","58","75","78","58","-0.19","63","34","208"
"Lower-middle-income","2019","2913534.4295578","40","88","5","5","2","0.54","84","5","7","4","0.67","93","3","3","<1","0.15","57","64","68","60","0.75","43","49","57","57","62","61","1.19","30","59","58","76","77","58","-0.19","62","34","209"
"Lower-middle-income","2020","2954194.9447403","40","88","5","5","2","0.54","84","5","7","4","0.67","94","3","3","<1","0.15","58","65","68","61","0.75","43","50","58","58","62","63","1.19","30","60","58","76","77","58","-0.19","62","35","210"
"Upper-middle-income","2000","2504869.1822414","50","85","<1","12","3","0.55","72","<1","22","5","0.90","97","<1","2","<1","0.05","69","71","78","69","0.40","59","26","-","50","67","-","-","32","41","86","92","90","86","0.19","86","12","211"
"Upper-middle-income","2001","2526926.5055113","50","85","<1","12","2","0.55","72","<1","22","5","0.90","97","<1","2","<1","0.05","69","72","79","69","0.40","60","25","-","50","67","-","-","34","39","87","93","90","87","0.19","86","12","212"
"Upper-middle-income","2002","2548580.8237743","51","86","<1","11","2","0.55","73","<1","21","5","0.90","97","<1","2","<1","0.05","70","73","79","70","0.40","62","25","-","53","68","-","-","35","39","87","93","90","87","0.19","86","11","213"
"Upper-middle-income","2003","2569920.8646097","52","86","<1","10","2","0.55","74","1","20","5","0.90","97","<1","2","<1","0.05","70","75","80","70","0.40","63","24","-","55","68","-","-","37","38","87","93","90","87","0.19","87","11","214"
"Upper-middle-income","2004","2591039.5084019","53","87","<1","10","2","0.55","75","1","19","5","0.90","97","<1","2","<1","0.05","71","76","80","71","0.40","64","24","-","58","69","-","-","38","38","87","93","90","87","0.19","87","11","215"
"Upper-middle-income","2005","2612027.6472645","54","88","<1","9","2","0.55","76","1","18","4","0.90","97","<1","2","<1","0.05","71","78","81","71","0.40","65","23","-","61","70","-","-","40","37","87","93","90","87","0.19","87","11","216"
"Upper-middle-income","2006","2633495.9836998","55","88","<1","9","2","0.55","77","1","17","4","0.90","97","<1","2","<1","0.05","71","80","82","71","0.40","67","23","-","63","71","-","-","41","37","87","93","91","87","0.19","87","11","217"
"Upper-middle-income","2007","2654274.0516796","56","89","<1","8","2","0.55","78","1","17","4","0.90","97","<1","2","<1","0.05","72","81","82","72","0.40","68","22","-","66","72","-","-","43","36","87","93","91","87","0.19","87","11","218"
"Upper-middle-income","2008","2675216.712327","57","90","<1","8","2","0.55","79","1","16","4","0.90","97","<1","2","<1","0.05","72","82","83","72","0.40","69","21","-","69","73","-","-","44","36","87","93","91","87","0.19","88","10","219"
"Upper-middle-income","2009","2696621.8482113","58","90","<1","7","2","0.55","80","1","15","3","0.90","98","<1","2","<1","0.05","73","84","83","73","0.40","70","21","-","71","73","-","-","46","35","87","93","91","87","0.19","88","10","220"
"Upper-middle-income","2010","2718672.8122063","59","91","<1","7","1","0.55","81","1","14","3","0.90","98","<1","2","<1","0.05","73","85","84","73","0.40","71","20","-","74","74","-","-","47","35","87","93","91","87","0.19","88","10","221"
"Upper-middle-income","2011","2741449.6383295","60","91","<1","6","1","0.55","82","1","14","3","0.90","98","<1","2","<1","0.05","73","86","84","73","0.40","72","20","-","75","75","-","-","49","34","88","93","91","88","0.19","88","10","222"
"Upper-middle-income","2012","2764807.9324427","61","92","<1","6","1","0.55","83","1","13","3","0.90","98","<1","2","<1","0.05","74","86","85","74","0.40","73","19","-","76","76","-","-","50","34","88","93","91","88","0.19","88","10","223"
"Upper-middle-income","2013","2788417.9702654","61","92","<1","6","1","0.55","84","2","12","2","0.90","98","<1","2","<1","0.05","74","87","85","74","0.40","74","19","-","77","77","-","-","52","33","89","93","90","89","0.19","89","10","224"
"Upper-middle-income","2014","2811816.7548447","62","93","<1","5","<1","0.55","85","2","11","2","0.90","98","<1","2","<1","0.05","75","87","85","75","0.40","75","18","-","78","77","-","-","53","33","90","93","90","90","0.19","89","9","225"
"Upper-middle-income","2015","2834636.6326075","63","93","<1","5","<1","0.55","86","2","11","2","0.90","98","<1","2","<1","0.05","75","88","86","75","0.40","76","18","-","79","78","-","-","55","32","90","93","90","90","0.19","89","9","226"
"Upper-middle-income","2016","2856772.1595821","64","94","<1","5","<1","0.55","87","2","10","2","0.90","98","<1","1","<1","0.05","75","88","86","75","0.40","77","17","-","80","79","-","-","56","32","90","93","90","91","0.19","89","9","227"
"Upper-middle-income","2017","2878215.5614834","65","94","<1","4","<1","0.55","87","2","9","2","0.90","98","<1","1","<1","0.05","76","89","87","76","0.40","78","17","-","81","80","-","-","58","32","90","93","90","92","0.19","89","9","228"
